index	name
5	L_Anterior_temporal_lobe_medial
6	R_Anterior_temporal_lobe_medial
7	L_Anterior_temporal_lobe_lateral
8	R_Anterior_temporal_lobe_lateral
9	L_Gyri_parahippocampalis_et_ambiens_anterior
10	R_Gyri_parahippocampalis_et_ambiens_anterior
11	L_Superior_temporal_gyrus_middle
12	R_Superior_temporal_gyrus_middle
13	L_Medial_and_inferior_temporal_gyri_anterior
14	R_Medial_and_inferior_temporal_gyri_anterior
15	L_Lateral_occipitotemporal_gyrus_gyrus_fusiformis_anterior
16	R_Lateral_occipitotemporal_gyrus_gyrus_fusiformis_anterior
20	R_Insula
21	L_Insula
22	R_Occipital_lobe
23	L_Occipital_lobe
24	R_Gyri_parahippocampalis_et_ambiens_posterior
25	L_Gyri_parahippocampalis_et_ambiens_posterior
26	R_Lateral_occipitotemporal_gyrus_gyrus_fusiformis_posterior
27	L_Lateral_occipitotemporal_gyrus_gyrus_fusiformis_posterior
28	R_Medial_and_inferior_temporal_gyri_posterior
29	L_Medial_and_inferior_temporal_gyri_posterior
30	R_Superior_temporal_gyrus_posterior
31	L_Superior_temporal_gyrus_posterior
32	R_Cingulate_gyrus_anterior
33	L_Cingulate_gyrus_anterior
34	R_Cingulate_gyrus_posterior
35	L_Cingulate_gyrus_posterior
36	R_Frontal_lobe
37	L_Frontal_lobe
38	R_Parietal_lobe
39	L_Parietal_lobe
